item,object,implicit_sentence,sentence_text,explicit_sentence,explicit_text,match,dataset,last_word,log_prob,model,checkpoint,n_params
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,a,The crayon was horizontal.,match,muraki2021,horizontal,-16.419313011060563,EleutherAI/pythia-1.4b,8,1414647808
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,b,The crayon was vertical.,mismatch,muraki2021,vertical,-14.826672534438858,EleutherAI/pythia-1.4b,8,1414647808
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,a,The decoration was horizontal.,match,muraki2021,horizontal,-16.49650565898946,EleutherAI/pythia-1.4b,8,1414647808
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,b,The decoration was vertical.,mismatch,muraki2021,vertical,-15.010187591244597,EleutherAI/pythia-1.4b,8,1414647808
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,a,The flashlight was horizontal.,match,muraki2021,horizontal,-16.273332798271543,EleutherAI/pythia-1.4b,8,1414647808
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,b,The flashlight was vertical.,mismatch,muraki2021,vertical,-14.494999216972658,EleutherAI/pythia-1.4b,8,1414647808
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,a,The fire extinguisher was horizontal.,match,muraki2021,horizontal,-16.5389537739888,EleutherAI/pythia-1.4b,8,1414647808
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,b,The fire extinguisher was vertical.,mismatch,muraki2021,vertical,-14.418486086241908,EleutherAI/pythia-1.4b,8,1414647808
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,a,The glass was horizontal.,match,muraki2021,horizontal,-15.876644402759963,EleutherAI/pythia-1.4b,8,1414647808
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,b,The glass was vertical.,mismatch,muraki2021,vertical,-14.503365737257575,EleutherAI/pythia-1.4b,8,1414647808
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,a,The guitar was horizontal.,match,muraki2021,horizontal,-16.73578177879622,EleutherAI/pythia-1.4b,8,1414647808
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,b,The guitar was vertical.,mismatch,muraki2021,vertical,-14.983219421043069,EleutherAI/pythia-1.4b,8,1414647808
14,gun,a,Annie raised the gun to fire at the target.,a,The gun was horizontal.,match,muraki2021,horizontal,-16.537502220654552,EleutherAI/pythia-1.4b,8,1414647808
14,gun,a,Annie raised the gun to fire at the target.,b,The gun was vertical.,mismatch,muraki2021,vertical,-14.669062065380576,EleutherAI/pythia-1.4b,8,1414647808
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",a,The iron was horizontal.,match,muraki2021,horizontal,-17.14467258598754,EleutherAI/pythia-1.4b,8,1414647808
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",b,The iron was vertical.,mismatch,muraki2021,vertical,-14.724759683289937,EleutherAI/pythia-1.4b,8,1414647808
16,key,a,The lab assistant put the key to the monkey cage in the lock.,a,The key was horizontal.,match,muraki2021,horizontal,-15.508308591709625,EleutherAI/pythia-1.4b,8,1414647808
16,key,a,The lab assistant put the key to the monkey cage in the lock.,b,The key was vertical.,mismatch,muraki2021,vertical,-14.791036375333913,EleutherAI/pythia-1.4b,8,1414647808
17,nail,a,The carpenter hammered the nail into the wall.,a,The nail was horizontal.,match,muraki2021,horizontal,-15.77572093467688,EleutherAI/pythia-1.4b,8,1414647808
17,nail,a,The carpenter hammered the nail into the wall.,b,The nail was vertical.,mismatch,muraki2021,vertical,-14.678971035363203,EleutherAI/pythia-1.4b,8,1414647808
18,pen,a,The accountant stuck his pen behind his ear.,a,The pen was horizontal.,match,muraki2021,horizontal,-16.450495443832516,EleutherAI/pythia-1.4b,8,1414647808
18,pen,a,The accountant stuck his pen behind his ear.,b,The pen was vertical.,mismatch,muraki2021,vertical,-14.83178789209209,EleutherAI/pythia-1.4b,8,1414647808
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,a,The pencil was horizontal.,match,muraki2021,horizontal,-17.05537916890813,EleutherAI/pythia-1.4b,8,1414647808
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,b,The pencil was vertical.,mismatch,muraki2021,vertical,-14.651100202522795,EleutherAI/pythia-1.4b,8,1414647808
20,plate,a,Sara situated the expensive plate on its mat on the table.,a,The plate was horizontal.,match,muraki2021,horizontal,-16.28493129705487,EleutherAI/pythia-1.4b,8,1414647808
20,plate,a,Sara situated the expensive plate on its mat on the table.,b,The plate was vertical.,mismatch,muraki2021,vertical,-14.656281713801633,EleutherAI/pythia-1.4b,8,1414647808
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,a,The salt shaker was horizontal.,match,muraki2021,horizontal,-15.679261965409792,EleutherAI/pythia-1.4b,8,1414647808
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,b,The salt shaker was vertical.,mismatch,muraki2021,vertical,-15.227660353998674,EleutherAI/pythia-1.4b,8,1414647808
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,a,The pair of scissors was horizontal.,match,muraki2021,horizontal,-16.246880390211324,EleutherAI/pythia-1.4b,8,1414647808
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,b,The pair of scissors was vertical.,mismatch,muraki2021,vertical,-14.738878822011126,EleutherAI/pythia-1.4b,8,1414647808
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,a,The screw was horizontal.,match,muraki2021,horizontal,-16.327891194784016,EleutherAI/pythia-1.4b,8,1414647808
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,b,The screw was vertical.,mismatch,muraki2021,vertical,-15.163089774232054,EleutherAI/pythia-1.4b,8,1414647808
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,a,The wheel was horizontal.,match,muraki2021,horizontal,-16.074238769921404,EleutherAI/pythia-1.4b,8,1414647808
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,b,The wheel was vertical.,mismatch,muraki2021,vertical,-15.273582456907866,EleutherAI/pythia-1.4b,8,1414647808
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,a,The axe was horizontal.,mismatch,muraki2021,horizontal,-16.507769905812136,EleutherAI/pythia-1.4b,8,1414647808
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,b,The axe was vertical.,match,muraki2021,vertical,-14.687359632036616,EleutherAI/pythia-1.4b,8,1414647808
2,bat,b,Derek held his bat high as the ball approached.,a,The bat was horizontal.,mismatch,muraki2021,horizontal,-16.317354786765172,EleutherAI/pythia-1.4b,8,1414647808
2,bat,b,Derek held his bat high as the ball approached.,b,The bat was vertical.,match,muraki2021,vertical,-14.91870528120076,EleutherAI/pythia-1.4b,8,1414647808
3,book,b,The librarian put the book back on the shelf.,a,The book was horizontal.,mismatch,muraki2021,horizontal,-15.550782700980712,EleutherAI/pythia-1.4b,8,1414647808
3,book,b,The librarian put the book back on the shelf.,b,The book was vertical.,match,muraki2021,vertical,-15.298163612324474,EleutherAI/pythia-1.4b,8,1414647808
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",a,The bottle was horizontal.,mismatch,muraki2021,horizontal,-17.03613086390942,EleutherAI/pythia-1.4b,8,1414647808
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",b,The bottle was vertical.,match,muraki2021,vertical,-15.341892596048087,EleutherAI/pythia-1.4b,8,1414647808
5,bowl,b,James placed the bowl into an open slot in the dishwasher.,a,The bowl was horizontal.,mismatch,muraki2021,horizontal,-16.420196331033818,EleutherAI/pythia-1.4b,8,1414647808
5,bowl,b,James placed the bowl into an open slot in the dishwasher.,b,The bowl was vertical.,match,muraki2021,vertical,-15.55526943466878,EleutherAI/pythia-1.4b,8,1414647808
6,broom,b,"Janie grabbed the broom and swept the house, pretending she was Cinderella.",a,The broom was horizontal.,mismatch,muraki2021,horizontal,-16.41529824853973,EleutherAI/pythia-1.4b,8,1414647808
6,broom,b,"Janie grabbed the broom and swept the house, pretending she was Cinderella.",b,The broom was vertical.,match,muraki2021,vertical,-14.992777467625617,EleutherAI/pythia-1.4b,8,1414647808
7,brush,b,"The teenager held her brush up like a microphone, pretending to be a famous rock star.",a,The brush was horizontal.,mismatch,muraki2021,horizontal,-16.082744300025606,EleutherAI/pythia-1.4b,8,1414647808
7,brush,b,"The teenager held her brush up like a microphone, pretending to be a famous rock star.",b,The brush was vertical.,match,muraki2021,vertical,-14.9160566927599,EleutherAI/pythia-1.4b,8,1414647808
8,crayon,b,The toddler drew a kitty cat with his crayon on his bedroom floor.,a,The crayon was horizontal.,mismatch,muraki2021,horizontal,-16.418728263018338,EleutherAI/pythia-1.4b,8,1414647808
8,crayon,b,The toddler drew a kitty cat with his crayon on his bedroom floor.,b,The crayon was vertical.,match,muraki2021,vertical,-14.937901310229362,EleutherAI/pythia-1.4b,8,1414647808
9,decoration,b,Laura hung the decoration on the line with the clothespin.,a,The decoration was horizontal.,mismatch,muraki2021,horizontal,-16.51014052753289,EleutherAI/pythia-1.4b,8,1414647808
9,decoration,b,Laura hung the decoration on the line with the clothespin.,b,The decoration was vertical.,match,muraki2021,vertical,-15.227693380764958,EleutherAI/pythia-1.4b,8,1414647808
10,flashlight,b,The hunter shone the flashlight onto the floor of the cavern.,a,The flashlight was horizontal.,mismatch,muraki2021,horizontal,-16.0363420515125,EleutherAI/pythia-1.4b,8,1414647808
10,flashlight,b,The hunter shone the flashlight onto the floor of the cavern.,b,The flashlight was vertical.,match,muraki2021,vertical,-14.613467667331708,EleutherAI/pythia-1.4b,8,1414647808
11,fire extinguisher,b,The race car driver fastened the fire-extinguisher onto the garage wall.,a,The fire extinguisher was horizontal.,mismatch,muraki2021,horizontal,-16.499711472779993,EleutherAI/pythia-1.4b,8,1414647808
11,fire extinguisher,b,The race car driver fastened the fire-extinguisher onto the garage wall.,b,The fire extinguisher was vertical.,match,muraki2021,vertical,-14.437116639646614,EleutherAI/pythia-1.4b,8,1414647808
12,glass,b,The waiter filled the wineglass while admiring Maureen's gown.,a,The glass was horizontal.,mismatch,muraki2021,horizontal,-15.984090902629356,EleutherAI/pythia-1.4b,8,1414647808
12,glass,b,The waiter filled the wineglass while admiring Maureen's gown.,b,The glass was vertical.,match,muraki2021,vertical,-14.52451542040459,EleutherAI/pythia-1.4b,8,1414647808
13,guitar,b,Mick set his guitar on the rack as he warmed up for the concert.,a,The guitar was horizontal.,mismatch,muraki2021,horizontal,-16.16455989768594,EleutherAI/pythia-1.4b,8,1414647808
13,guitar,b,Mick set his guitar on the rack as he warmed up for the concert.,b,The guitar was vertical.,match,muraki2021,vertical,-15.27861539071218,EleutherAI/pythia-1.4b,8,1414647808
14,gun,b,Annie lowered the gun to place it in the holster.,a,The gun was horizontal.,mismatch,muraki2021,horizontal,-16.429926355868687,EleutherAI/pythia-1.4b,8,1414647808
14,gun,b,Annie lowered the gun to place it in the holster.,b,The gun was vertical.,match,muraki2021,vertical,-14.958224058921308,EleutherAI/pythia-1.4b,8,1414647808
15,iron,b,"Frank placed the iron onto the shelf, hoping he wouldn't be late.",a,The iron was horizontal.,mismatch,muraki2021,horizontal,-16.837422123248004,EleutherAI/pythia-1.4b,8,1414647808
15,iron,b,"Frank placed the iron onto the shelf, hoping he wouldn't be late.",b,The iron was vertical.,match,muraki2021,vertical,-15.065805412061335,EleutherAI/pythia-1.4b,8,1414647808
16,key,b,The lab assistant put the key to the monkey cage on the hook.,a,The key was horizontal.,mismatch,muraki2021,horizontal,-15.457495190257667,EleutherAI/pythia-1.4b,8,1414647808
16,key,b,The lab assistant put the key to the monkey cage on the hook.,b,The key was vertical.,match,muraki2021,vertical,-14.67142449758337,EleutherAI/pythia-1.4b,8,1414647808
17,nail,b,The carpenter hammered the nail into the floor plank.,a,The nail was horizontal.,mismatch,muraki2021,horizontal,-15.784146660348721,EleutherAI/pythia-1.4b,8,1414647808
17,nail,b,The carpenter hammered the nail into the floor plank.,b,The nail was vertical.,match,muraki2021,vertical,-14.823814826129723,EleutherAI/pythia-1.4b,8,1414647808
18,pen,b,The accountant stuck his pen into his pocket protector.,a,The pen was horizontal.,mismatch,muraki2021,horizontal,-16.041183674287893,EleutherAI/pythia-1.4b,8,1414647808
18,pen,b,The accountant stuck his pen into his pocket protector.,b,The pen was vertical.,match,muraki2021,vertical,-14.973443801010793,EleutherAI/pythia-1.4b,8,1414647808
19,pencil,b,Rick hurriedly stuck his pencil in the coffee mug.,a,The pencil was horizontal.,mismatch,muraki2021,horizontal,-16.851808015203652,EleutherAI/pythia-1.4b,8,1414647808
19,pencil,b,Rick hurriedly stuck his pencil in the coffee mug.,b,The pencil was vertical.,match,muraki2021,vertical,-14.912943175865971,EleutherAI/pythia-1.4b,8,1414647808
20,plate,b,Sara situated the expensive plate on its holder on the shelf.,a,The plate was horizontal.,mismatch,muraki2021,horizontal,-16.24980140060889,EleutherAI/pythia-1.4b,8,1414647808
20,plate,b,Sara situated the expensive plate on its holder on the shelf.,b,The plate was vertical.,match,muraki2021,vertical,-14.950860551551152,EleutherAI/pythia-1.4b,8,1414647808
21,salt shaker,b,The anxious little boy placed the salt shaker onto the table.,a,The salt shaker was horizontal.,mismatch,muraki2021,horizontal,-15.69484084478016,EleutherAI/pythia-1.4b,8,1414647808
21,salt shaker,b,The anxious little boy placed the salt shaker onto the table.,b,The salt shaker was vertical.,match,muraki2021,vertical,-15.238370047616835,EleutherAI/pythia-1.4b,8,1414647808
22,pair of scissors,b,Becca used the scissors to carve her initials into the wet concrete.,a,The pair of scissors was horizontal.,mismatch,muraki2021,horizontal,-16.243417413876536,EleutherAI/pythia-1.4b,8,1414647808
22,pair of scissors,b,Becca used the scissors to carve her initials into the wet concrete.,b,The pair of scissors was vertical.,match,muraki2021,vertical,-14.740482996807087,EleutherAI/pythia-1.4b,8,1414647808
23,screw,b,Jim prepared to insert the screw into the top of the cabinet.,a,The screw was horizontal.,mismatch,muraki2021,horizontal,-16.45348794776897,EleutherAI/pythia-1.4b,8,1414647808
23,screw,b,Jim prepared to insert the screw into the top of the cabinet.,b,The screw was vertical.,match,muraki2021,vertical,-15.257793067209281,EleutherAI/pythia-1.4b,8,1414647808
24,wheel,b,The young husband prepared to place the spare tire onto the wheel.,a,The wheel was horizontal.,mismatch,muraki2021,horizontal,-15.995013906000631,EleutherAI/pythia-1.4b,8,1414647808
24,wheel,b,The young husband prepared to place the spare tire onto the wheel.,b,The wheel was vertical.,match,muraki2021,vertical,-15.151616509135886,EleutherAI/pythia-1.4b,8,1414647808
1,steak,a,John looked at the steak on his plate.,a,The steak was brown.,match,connell2007,brown,-17.777041670196148,EleutherAI/pythia-1.4b,8,1414647808
1,steak,a,John looked at the steak on his plate.,b,The steak was red.,mismatch,connell2007,red,-16.65836472474482,EleutherAI/pythia-1.4b,8,1414647808
2,traffic light,a,The driving instructor told Bob to stop at the traffic lights.,a,The traffic light was light red.,match,connell2007,red,-16.443074195147336,EleutherAI/pythia-1.4b,8,1414647808
2,traffic light,a,The driving instructor told Bob to stop at the traffic lights.,b,The traffic light was light green.,mismatch,connell2007,green,-16.015854077099746,EleutherAI/pythia-1.4b,8,1414647808
3,tomato,a,Jane tasted the tomato when it was ready to eat.,a,The tomato was red.,match,connell2007,red,-16.20371140189853,EleutherAI/pythia-1.4b,8,1414647808
3,tomato,a,Jane tasted the tomato when it was ready to eat.,b,The tomato was green.,mismatch,connell2007,green,-16.17450332067912,EleutherAI/pythia-1.4b,8,1414647808
4,tree,a,Paula thought the tree outside her window looked beautiful in the summer.,a,The tree was green.,match,connell2007,green,-16.540914389406108,EleutherAI/pythia-1.4b,8,1414647808
4,tree,a,Paula thought the tree outside her window looked beautiful in the summer.,b,The tree was orange.,mismatch,connell2007,orange,-18.860815902915892,EleutherAI/pythia-1.4b,8,1414647808
5,hair,a,Susan liked it when her granddaughter wore her hair up.,a,The hair was brown.,match,connell2007,brown,-16.940952828034714,EleutherAI/pythia-1.4b,8,1414647808
5,hair,a,Susan liked it when her granddaughter wore her hair up.,b,The hair was grey.,mismatch,connell2007,grey,-15.569199991505531,EleutherAI/pythia-1.4b,8,1414647808
6,bear,a,Joe was excited to see a bear in the woods.,a,The bear was brown.,match,connell2007,brown,-17.005552295448425,EleutherAI/pythia-1.4b,8,1414647808
6,bear,a,Joe was excited to see a bear in the woods.,b,The bear was white.,mismatch,connell2007,white,-14.877298683765506,EleutherAI/pythia-1.4b,8,1414647808
7,leaf,a,Sarah stopped in the woods to pick a leaf off a tree.,a,The leaf was green.,match,connell2007,green,-15.895391969087077,EleutherAI/pythia-1.4b,8,1414647808
7,leaf,a,Sarah stopped in the woods to pick a leaf off a tree.,b,The leaf was orange.,mismatch,connell2007,orange,-18.080358576318638,EleutherAI/pythia-1.4b,8,1414647808
8,lamb,a,Anna found it very easy to spot the lamb in the dark grass.,a,The lamb was white.,match,connell2007,white,-15.229794348720837,EleutherAI/pythia-1.4b,8,1414647808
8,lamb,a,Anna found it very easy to spot the lamb in the dark grass.,b,The lamb was black.,mismatch,connell2007,black,-18.01505747809502,EleutherAI/pythia-1.4b,8,1414647808
9,bananas,a,The bananas that Mark bought looked ready to eat.,a,The bananas were yellow.,match,connell2007,yellow,-17.052848940595332,EleutherAI/pythia-1.4b,8,1414647808
9,bananas,a,The bananas that Mark bought looked ready to eat.,b,The bananas were green.,mismatch,connell2007,green,-16.075713658241508,EleutherAI/pythia-1.4b,8,1414647808
10,coffee,a,Joanne always took milk in her coffee.,a,The coffee was brown.,match,connell2007,brown,-17.28757501696202,EleutherAI/pythia-1.4b,8,1414647808
10,coffee,a,Joanne always took milk in her coffee.,b,The coffee was black.,mismatch,connell2007,black,-17.76809724909523,EleutherAI/pythia-1.4b,8,1414647808
11,sky,a,The children watched the seagulls fly across the sky in the sunshine.,a,The sky was blue.,match,connell2007,blue,-17.987790650030924,EleutherAI/pythia-1.4b,8,1414647808
11,sky,a,The children watched the seagulls fly across the sky in the sunshine.,b,The sky was grey.,mismatch,connell2007,grey,-15.515509824076519,EleutherAI/pythia-1.4b,8,1414647808
12,chameleon,a,The teacher pointed to the chameleon lying camouflaged in the grass.,a,The chameleon was green.,match,connell2007,green,-16.171807913316005,EleutherAI/pythia-1.4b,8,1414647808
12,chameleon,a,The teacher pointed to the chameleon lying camouflaged in the grass.,b,The chameleon was yellow.,mismatch,connell2007,yellow,-16.976832631037382,EleutherAI/pythia-1.4b,8,1414647808
1,steak,b,John looked at the steak in the butcher’s window.,a,The steak was brown.,mismatch,connell2007,brown,-17.86470749004085,EleutherAI/pythia-1.4b,8,1414647808
1,steak,b,John looked at the steak in the butcher’s window.,b,The steak was red.,match,connell2007,red,-16.33608439938793,EleutherAI/pythia-1.4b,8,1414647808
2,traffic light,b,The driving instructor told Bob to continue at the traffic lights.,a,The traffic light was light red.,mismatch,connell2007,red,-16.332226517637686,EleutherAI/pythia-1.4b,8,1414647808
2,traffic light,b,The driving instructor told Bob to continue at the traffic lights.,b,The traffic light was light green.,match,connell2007,green,-15.983753810637788,EleutherAI/pythia-1.4b,8,1414647808
3,tomato,b,Jane tasted the tomato before it was ready to eat.,a,The tomato was red.,mismatch,connell2007,red,-16.257226973984523,EleutherAI/pythia-1.4b,8,1414647808
3,tomato,b,Jane tasted the tomato before it was ready to eat.,b,The tomato was green.,match,connell2007,green,-16.071320523143125,EleutherAI/pythia-1.4b,8,1414647808
4,tree,b,Paula thought the tree outside her window looked beautiful in the autumn.,a,The tree was green.,mismatch,connell2007,green,-16.512066763213944,EleutherAI/pythia-1.4b,8,1414647808
4,tree,b,Paula thought the tree outside her window looked beautiful in the autumn.,b,The tree was orange.,match,connell2007,orange,-18.86521445336028,EleutherAI/pythia-1.4b,8,1414647808
5,hair,b,Susan liked it when her grandmother wore her hair up.,a,The hair was brown.,mismatch,connell2007,brown,-16.908738474493518,EleutherAI/pythia-1.4b,8,1414647808
5,hair,b,Susan liked it when her grandmother wore her hair up.,b,The hair was grey.,match,connell2007,grey,-15.7484101069075,EleutherAI/pythia-1.4b,8,1414647808
6,bear,b,Joe was excited to see a bear at the north pole.,a,The bear was brown.,mismatch,connell2007,brown,-16.97227299246273,EleutherAI/pythia-1.4b,8,1414647808
6,bear,b,Joe was excited to see a bear at the north pole.,b,The bear was white.,match,connell2007,white,-14.727695706868765,EleutherAI/pythia-1.4b,8,1414647808
7,leaf,b,Sarah stopped in the woods to pick a leaf off the ground.,a,The leaf was green.,mismatch,connell2007,green,-15.882557909713027,EleutherAI/pythia-1.4b,8,1414647808
7,leaf,b,Sarah stopped in the woods to pick a leaf off the ground.,b,The leaf was orange.,match,connell2007,orange,-18.126291746315008,EleutherAI/pythia-1.4b,8,1414647808
8,lamb,b,Anna found it very difficult to spot the lamb in the dark grass.,a,The lamb was white.,mismatch,connell2007,white,-15.259544561834916,EleutherAI/pythia-1.4b,8,1414647808
8,lamb,b,Anna found it very difficult to spot the lamb in the dark grass.,b,The lamb was black.,match,connell2007,black,-17.818614768561318,EleutherAI/pythia-1.4b,8,1414647808
9,bananas,b,The bananas that Mark bought didn't look ready to eat.,a,The bananas were yellow.,mismatch,connell2007,yellow,-17.128577689682636,EleutherAI/pythia-1.4b,8,1414647808
9,bananas,b,The bananas that Mark bought didn't look ready to eat.,b,The bananas were green.,match,connell2007,green,-15.971744018359757,EleutherAI/pythia-1.4b,8,1414647808
10,coffee,b,Joanne never took milk in her coffee.,a,The coffee was brown.,mismatch,connell2007,brown,-17.26479479314125,EleutherAI/pythia-1.4b,8,1414647808
10,coffee,b,Joanne never took milk in her coffee.,b,The coffee was black.,match,connell2007,black,-17.330317547685155,EleutherAI/pythia-1.4b,8,1414647808
11,sky,b,The children watched the seagulls fly across the sky in the rain.,a,The sky was blue.,mismatch,connell2007,blue,-17.968854616857918,EleutherAI/pythia-1.4b,8,1414647808
11,sky,b,The children watched the seagulls fly across the sky in the rain.,b,The sky was grey.,match,connell2007,grey,-15.474733462007642,EleutherAI/pythia-1.4b,8,1414647808
12,chameleon,b,The teacher pointed to the chameleon lying camouflaged in the sand.,a,The chameleon was green.,mismatch,connell2007,green,-16.120261306893326,EleutherAI/pythia-1.4b,8,1414647808
12,chameleon,b,The teacher pointed to the chameleon lying camouflaged in the sand.,b,The chameleon was yellow.,match,connell2007,yellow,-16.947936820532757,EleutherAI/pythia-1.4b,8,1414647808
35,airplane,a,There was an airplane in the hangar.,a,The airplane's wheels were down.,match,pecher2006,down,-16.506318351008172,EleutherAI/pythia-1.4b,8,1414647808
35,airplane,a,There was an airplane in the hangar.,b,The airplane's wheels were retracted.,mismatch,pecher2006,retracted,-31.265691954590736,EleutherAI/pythia-1.4b,8,1414647808
53,apple,a,There was an apple in the bag.,a,The apple was whole.,match,pecher2006,whole,-16.537692073330827,EleutherAI/pythia-1.4b,8,1414647808
53,apple,a,There was an apple in the bag.,b,The apple was sliced.,mismatch,pecher2006,sliced,-14.981853147739946,EleutherAI/pythia-1.4b,8,1414647808
1,apple pie,a,There was apple pie on the table.,a,The apple pie was whole.,match,pecher2006,whole,-16.89888318212796,EleutherAI/pythia-1.4b,8,1414647808
1,apple pie,a,There was apple pie on the table.,b,The apple pie was sliced.,mismatch,pecher2006,sliced,-15.303156604993921,EleutherAI/pythia-1.4b,8,1414647808
21,avocado,a,There was an avocado in the crate.,a,The avocado was whole.,match,pecher2006,whole,-16.79874532815049,EleutherAI/pythia-1.4b,8,1414647808
21,avocado,a,There was an avocado in the crate.,b,The avocado was sliced.,mismatch,pecher2006,sliced,-14.885482235562105,EleutherAI/pythia-1.4b,8,1414647808
39,balloon,a,There was a balloon in the pack.,a,The balloon was deflated.,match,pecher2006,deflated,-32.44787598571811,EleutherAI/pythia-1.4b,8,1414647808
39,balloon,a,There was a balloon in the pack.,b,The balloon was inflated.,mismatch,pecher2006,inflated,-15.119545155891402,EleutherAI/pythia-1.4b,8,1414647808
32,banana,a,There was a banana on the counter.,a,The banana was whole.,match,pecher2006,whole,-16.573705296629925,EleutherAI/pythia-1.4b,8,1414647808
32,banana,a,There was a banana on the counter.,b,The banana was sliced.,mismatch,pecher2006,sliced,-15.033086058349882,EleutherAI/pythia-1.4b,8,1414647808
47,book,a,There was a book on the shelf.,a,The book was closed.,match,pecher2006,closed,-14.631509257948347,EleutherAI/pythia-1.4b,8,1414647808
47,book,a,There was a book on the shelf.,b,The book was open.,mismatch,pecher2006,open,-15.211045446069337,EleutherAI/pythia-1.4b,8,1414647808
40,bread,a,There was bread in the bakery window.,a,The bread was in a loaf.,match,pecher2006,loaf,-14.570645364557985,EleutherAI/pythia-1.4b,8,1414647808
40,bread,a,There was bread in the bakery window.,b,The bread was in a slice.,mismatch,pecher2006,slice,-14.554785812129328,EleutherAI/pythia-1.4b,8,1414647808
12,carrot,a,There was a carrot in the garden.,a,The carrot was whole.,match,pecher2006,whole,-16.44667339434531,EleutherAI/pythia-1.4b,8,1414647808
12,carrot,a,There was a carrot in the garden.,b,The carrot was sliced.,mismatch,pecher2006,sliced,-14.87081699197589,EleutherAI/pythia-1.4b,8,1414647808
